brands,brands_tags,carbohydrates_100g,cholesterol_100g,code,creator,demo_cat,energy_100g,fat_100g,fiber_100g,hos,image_url,product_name,proteins_100g,serving_size,sodium_100g,sugars_100g
Kroger,kroger,65.52,0.0,N11110872388,usda-ndb-import,cookies peanut butter,2163.0,27.59,3.4,0,,"Kroger Fudge Enrobed Cookies, Peanut Butter",3.45,29 g (29 g),0.44799999999999995,37.93
The Kroger Co.,the-kroger-co,0.0,0.045,N11110888082,usda-ndb-import,chunk light tuna,523.0,4.46,0.0,0,,The Kroger Co. Chunk Light Tuna In Oil,19.64,56 g (2 OZ DRAINED),0.321,0.0
Unilever,unilever,0.0,,N11115224274,usda-ndb-import,vegetable oil spread,1197.0,28.57,,0,,"Unilever Imperial, 30% Vegetable Oil Spread",0.0,14 g (1 Tbsp),0.643,
Unilever,unilever,0.0,0.0,N11115621240,usda-ndb-import,vegetable oil spread,2389.0,57.14,,0,,"Unilever Promise, Buttery, 60% Vegetable Oil Spread",0.0,14 g (1 Tbsp),0.607,
Roundy's,roundy-s,7.2,0.008,N11150100304,usda-ndb-import,mushroom condensed soup,234.0,2.0,1.6,0,,Roundy's Cream Of Mushroom Condensed Soup,2.4,125 g (0.5 cup),0.36,0.0
Roundy's,roundy-s,24.71,0.0,N11150550086,usda-ndb-import,french fried potatoes,787.0,9.41,2.4,0,,Roundy's Curly French Fried Potatoes,2.35,85 g (3 ONZ),0.435,0.0
Roundy's,roundy-s,27.78,0.019,N11150589147,usda-ndb-import,ice cream bars,699.0,5.56,0.0,0,,"Roundy's Ice Cream Bars, Orange",1.85,54 g (54 g),0.065,18.52
Roundy's,roundy-s,36.36,0.026000000000000002,N11150590037,usda-ndb-import,ice cream bars,1795.0,29.87,2.6,0,,Roundy's Ice Cream Bars,3.9,77 g (77 g),0.11699999999999999,31.17
Foodtown,foodtown,26.87,0.045,N11153502839,usda-ndb-import,premium ice cream,1000.0,11.94,0.0,0,,Foodtown Premium Ice Cream,2.99,67 g (0.5 cup),0.11900000000000001,25.37
"Shurfine,  Topco Associates  Inc.","shurfine,topco-associates-inc",56.67,0.0,N11161030577,usda-ndb-import,baked snack crackers,1674.0,15.0,0.0,0,,Shurfine Baked Snack Crackers,6.67,30 g (40 CRACKERS),0.733,3.33
"Shur Fine,  Topco Associates  Inc.","shur-fine,topco-associates-inc",57.14,0.0,N11161031369,usda-ndb-import,wavy potato chips,2389.0,35.71,3.6,0,,Shur Fine Wavy Potato Chips,7.14,28 g (13 CHIPS),0.643,0.0
Shurfine,shurfine,26.67,0.0,N11161033943,usda-ndb-import,honey roasted peanuts,2648.0,50.0,6.7,0,,Shurfine Honey Roasted Peanuts,20.0,30 g (0.25 cup),0.4,16.67
"Shur Fine,  Topco Associates  Inc.","shur-fine,topco-associates-inc",69.7,0.0,N11161035572,usda-ndb-import,cookies chocolate chip,2029.0,21.21,3.0,0,,"Shur Fine Cookies, Chocolate Chip",3.03,33 g (3 COOKIES),0.33299999999999996,36.36
"Shurfine,  Topco Associates  Inc.","shurfine,topco-associates-inc",62.5,0.0,N11161035589,usda-ndb-import,cookies chocolate chip,2092.0,28.12,3.1,0,,"Shurfine Real Chunky Cookies, Chocolate Chip",3.12,32 g (2 COOKIES),0.344,31.25
Spartan,spartan,70.45,0.0,N11213082998,usda-ndb-import,pancake waffle mix,1427.0,3.41,2.3,0,,Spartan Complete Pancake & Waffle Mix Buttermilk,9.09,44 g (0.33 cup),1.091,11.36
Spartan,spartan,16.67,0.0,N11213147796,usda-ndb-import,roasted salted almonds,2556.0,55.56,11.1,0,,Spartan Fresh Selection Roasted & Salted Almonds,22.22,36 g (0.25 cup),0.33299999999999996,5.56
"Valu Time,  Topco","valu-time,topco",18.75,0.016,N11225022159,usda-ndb-import,thousand island dressing,1046.0,18.75,0.0,0,,Valu Time Thousand Island Dressing,0.0,32 g (2 Tbsp),0.938,15.62
"Valu Time,  Kingston Marketing Co","valu-time,kingston-marketing-co",50.0,0.0,N11225028304,usda-ndb-import,honey roasted peanuts,2092.0,32.14,3.6,0,,Valu Time Honey Roasted Peanuts,14.29,28 g (1 ONZ),0.125,39.29
"Big Win,  Rite Aid Corporation","big-win,rite-aid-corporation",21.43,0.0,N11822222471,usda-ndb-import,dry roasted peanuts,2389.0,50.0,7.1,0,,Big Win Dry Roasted Peanuts,25.0,28 g (0.25 CUP | ABOUT),0.268,3.57
Rite Aid Corporation,rite-aid-corporation,67.5,0.0,N11822584371,usda-ndb-import,steel cut oats,1569.0,6.25,10.0,0,,"Rite Aid Corporation B4y, Quick Cooking Steel Cut Oats",12.5,40 g (0.25 cup),0.0,2.5
Big Win,big-win,25.0,0.0,N11822667371,usda-ndb-import,dry roasted peanuts,2389.0,46.43,7.1,0,,"Big Win Dry Roasted Peanuts, Salted",21.43,28 g (1 ONZ),0.7140000000000001,3.57
Annie's,annie-s,75.0,0.0,N13562460502,usda-ndb-import,chewy granola bars,1644.0,12.5,10.7,0,,"Annie's Chewy Granola Bars, Double Chocolate Chip",3.57,28 g (1 BAR),0.14300000000000002,25.0
Wonderful Pistachios & Almonds Llc,wonderful-pistachios-almonds-llc,22.0,0.0,N14113210317,usda-ndb-import,roasted salted almonds,2510.0,52.0,10.0,0,,Wonderful Pistachios & Almonds Llc Roasted & Salted Almonds,22.0,50 g (0.5 cup),0.34,4.0
Wonderful Pistachios & Almonds Llc,wonderful-pistachios-almonds-llc,20.0,0.0,N14113210690,usda-ndb-import,roasted salted almonds,2510.0,53.33,10.0,0,,"Wonderful Pistachios & Almonds Llc Wonderful, Roasted & Salted Almonds",20.0,30 g (0.25 cup),0.4,3.33
Wonderful Pistachios & Almonds Llc,wonderful-pistachios-almonds-llc,20.0,0.0,N14113210744,usda-ndb-import,roasted salted almonds,2510.0,53.33,10.0,0,,"Wonderful Pistachios & Almonds Llc Wonderful, Roasted & Salted Almonds",20.0,30 g (0.25 cup),0.4,3.33
Western Family,western-family,17.86,0.0,N15400023832,usda-ndb-import,dry roasted peanuts,2389.0,50.0,7.1,0,,Western Family Unsalted Dry Roasted Peanuts,25.0,28 g (1 oz),0.0,3.57
Western Family Foods  Inc.,western-family-foods-inc,27.69,0.046,N15400224963,usda-ndb-import,premium ice cream,967.0,12.31,0.0,0,,Western Family Foods  Inc. Creamery Select Premium Ice Cream,3.08,65 g (0.5 cup),0.077,21.54
Western Family Foods  Inc.,western-family-foods-inc,18.75,0.0,N15400454759,usda-ndb-import,crunchy peanut butter,2615.0,50.0,6.2,0,,Western Family Foods  Inc. Crunchy Peanut Butter,21.88,32 g (2 Tbsp),0.375,9.38
"Kettle,  Shurfine","kettle,shurfine",53.57,0.0,N15400875677,usda-ndb-import,cooked potato chips,2243.0,32.14,3.6,0,,Kettle Cooked Potato Chips,7.14,28 g (18 CHIPS) | (ABOUT),0.607,0.0
Chiu Hop Company,chiu-hop-company,0.0,0.0,N15984020036,usda-ndb-import,vegetable oil spread,2092.0,50.0,,0,,"Chiu Hop Company Redner's, Vegetable Oil Spread",0.0,14 g (1 Tbsp),0.75,
Big Y,big-y,5.88,0.071,N18894329619,usda-ndb-import,italian style meatballs,1180.0,22.35,1.2,0,,Big Y Italian Style Meatballs,16.47,85 g (3 MEATBALLS),0.682,1.18
Big Y,big-y,68.57,0.006999999999999999,N18894360100,usda-ndb-import,macaroni cheese dinner,1494.0,2.86,2.9,0,,Big Y Macaroni N' Cheese Dinner,14.29,70 g (0.5 CUP MACARONI AND 2 TABLESPOONS DRY CHEESE MIX) MAKES ABOUT 1 CUP PREAPARED | (ABOUT),0.871,8.57
"Toft's,  Toft Dairy Inc.","toft-s,toft-dairy-inc",27.4,0.034,N19473006563,usda-ndb-import,peanut butter cup,1033.0,13.7,1.4,0,,"Toft's Ice Cream, Peanut Butter Cup",5.48,73 g (0.5 cup),0.185,20.55
Harmons,harmons,0.0,0.054000000000000006,N19646050140,usda-ndb-import,chunk light tuna,448.0,0.89,0.0,0,,Harmons Skipjack Chunk Light Tuna In Water,26.79,56 g (0.25 cup),0.321,0.0
Cedar Crest Specialties Inc.,cedar-crest-specialties-inc,29.33,0.02,N20652002214,usda-ndb-import,peanut butter cup,1172.0,17.33,1.3,0,,"Cedar Crest Specialties Inc. Cedar Crest, Ice Cream, Peanut Butter Cup",4.0,75 g (0.5 cup),0.2,26.67
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",58.27,0.0,N20685000560,usda-ndb-import,cooked potato chips,2125.0,28.2,3.8,0,,Cape Cod Kettle Cooked Potato Chips,7.52,53.2 g (1 PACKAGE),0.526,0.0
Cape Cod,cape-cod,65.79,0.0,N20685000577,usda-ndb-import,potato chips original,1966.0,20.68,5.6,0,,"Cape Cod Kettle Cooked Potato Chips, Original",7.52,53.2 g (1 PACKAGE),0.301,0.0
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",64.29,0.0,N20685001086,usda-ndb-import,potato chips original,2092.0,21.43,7.1,0,,"Cape Cod Kettle Cooked Potato Chips, Original",7.14,28 g (19 CHIPS | ABOUT),0.304,0.0
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",64.29,0.0,N20685001413,usda-ndb-import,cooked potato chips,2092.0,21.43,3.6,0,,"Cape Cod Waffle Cut Kettle Cooked Potato Chips, Buffalo Cheddar",7.14,28 g (17 CHIPS | ABOUT),0.446,3.57
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",60.71,0.0,N20685001512,usda-ndb-import,cooked potato chips,2092.0,25.0,3.6,0,,"Cape Cod Kettle Cooked Potato Chips, Roasted Black Garlic",3.57,28 g (18 CHIPS | ABOUT),0.9640000000000001,3.57
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",64.29,0.0,N20685001666,usda-ndb-import,potato chips original,2092.0,21.43,7.1,0,,"Cape Cod Kettle Cooked Potato Chips, Original",7.14,28 g (19 CHIPS | ABOUT),0.304,0.0
"Cape Cod,  Cape Cod Potato Chips Inc.","cape-cod,cape-cod-potato-chips-inc",65.73,0.0,N20685600104,usda-ndb-import,cooked potato chips,1962.0,21.13,4.7,0,,Cape Cod Original Kettle Cooked Potato Chips,9.39,21.3 g (1 PACKAGE),0.305,0.0
Turkey Hill,turkey-hill,28.79,0.038,N20735110249,usda-ndb-import,chocolate chip cookie,1013.0,12.12,0.0,0,,"Turkey Hill Premium Ice Cream, Chocolate Chip Cookie Dough",3.03,66 g (0.5 cup),0.114,19.7
Philadelphia,philadelphia,6.67,0.067,N21000007325,usda-ndb-import,cream cheese spread,837.0,16.67,0.0,0,,"Philadelphia Cream Cheese Spread, Spicy Jalapeno",6.67,30 g (2 Tbsp),0.5670000000000001,6.67
Philadelphia,philadelphia,15.62,0.047,N21000007967,usda-ndb-import,cream cheese spread,916.0,14.06,0.0,0,,"Philadelphia Cream Cheese Spread, Black Cherry",6.25,32 g (2 Tbsp),0.375,15.62
Lucerne Dairy Farms,lucerne-dairy-farms,42.86,0.027000000000000003,N21130087921,usda-ndb-import,ice cream sandwiches,1121.0,8.93,1.8,0,,Lucerne Dairy Farms Ice Cream Sandwiches,3.57,56 g (1 SANDWICH),0.196,23.21
"Signature,  Safeway  Inc.","signature,safeway-inc",25.0,0.0,N21130092024,usda-ndb-import,french fried potatoes,649.0,4.76,2.4,0,,"Signature Kithens, French Fried Potatoes",2.38,84 g (15 2- INCH PIECES | ABOUT),0.33299999999999996,1.19
Signature Kitchens,signature-kitchens,23.81,0.0,N21130092062,usda-ndb-import,french fried potatoes,649.0,5.95,2.4,0,,Signature Kitchens Crinkle Cut French Fried Potatoes,2.38,"84 g (20 , 2-INCH PIECES) | ABOUT)",0.33299999999999996,1.19
Oven Joy,oven-joy,41.86,0.0,N21130120499,usda-ndb-import,hot dog buns,1071.0,3.49,2.3,0,,Oven Joy Hot Dog Buns,6.98,43 g (1 BUN),0.442,4.65
Safeway  Inc.,safeway-inc,2.0,0.04,N21130152926,usda-ndb-import,roasted turkey breast,418.0,1.0,0.0,0,,"Safeway  Inc. Primo Taglio, Oven Roasted Turkey Breast",22.0,50 g (3 SLICES),0.96,2.0
"Safeway Kitchens,  Safeway  Inc.","safeway-kitchens,safeway-inc",64.29,0.0,N21130306282,usda-ndb-import,baked snack crackers,1941.0,17.86,3.6,0,,"Safeway Kitchens Baked Snack Crackers, Sesame Thin Wheat",10.71,28 g (13 CRACKERS),0.929,10.71
Signature Kitchens,signature-kitchens,12.15,0.012,N21130405039,usda-ndb-import,chili with beans,423.0,3.64,2.8,0,,Signature Kitchens Chili With Beans,5.26,247 g (1 cup),0.364,1.21
"Winn-Dixie,  Winn-Dixie Stores  Inc.","winn-dixie,winn-dixie-stores-inc",70.0,0.0,N21140025968,usda-ndb-import,steel cut oats,1569.0,6.25,10.0,0,,Winn-Dixie Steel Cut Oats,12.5,40 g (0.25 cup),0.0,0.0
"Cascadian Farm,  Small Planet Foods  Inc.","cascadian-farm,small-planet-foods-inc",77.14,0.0,N21908134734,usda-ndb-import,chewy granola bars,1552.0,5.71,2.9,0,,"Cascadian Farm Chewy Granola Bars, Harvest Berry",5.71,35 g (1 BAR),0.214,31.43
Larabar,larabar,62.22,0.0,N21908488172,usda-ndb-import,chocolate chip cookie,1954.0,24.44,6.7,0,,"Larabar Bars, Chocolate Chip Cookie Dough",8.89,45 g (45 g),0.122,35.56
Snyder Of Berlin,snyder-of-berlin,53.57,0.0,N23000430745,usda-ndb-import,wavy potato chips,2243.0,32.14,3.6,0,,"Snyder Of Berlin Wavy Potato Chips, Sour Cream & Onion",7.14,28 g (1 oz),1.107,3.57
La Fe,la-fe,1.67,0.067,N23545204801,usda-ndb-import,sardines in tomato,377.0,2.18,,0,,La Fe Sardines In Tomato Sauce,16.2,60 g (2 oz),0.39,1.67
Sunbelt Bakery,sunbelt-bakery,65.62,0.0,N24300031113,usda-ndb-import,chewy granola bars,2092.0,21.88,3.1,0,,"Sunbelt Bakery Fudge Dipped Chewy Granola Bars, Chocolate Chip",6.25,32 g (32 g),0.156,34.38
Applegate,applegate,0.0,0.054000000000000006,N25317579001,usda-ndb-import,smoked turkey breast,372.0,0.0,0.0,0,,Applegate Smoked Turkey Breast,21.43,56 g (2 oz),0.643,0.0
Glenn Foods Inc.,glenn-foods-inc,56.25,0.0,N27393016302,usda-ndb-import,fruit nut bar,1699.0,14.06,9.4,0,,"Glenn Foods Inc. Glennys, Greek Yogurt Fruit & Nut Bar, Chocolate Cherry",15.62,32 g (1 BAR),0.391,28.12
"Country Crock,  Unilever","country-crock,unilever",7.14,,N27400250620,usda-ndb-import,vegetable oil spread,1343.0,32.14,,0,,"Country Crock Calcium, 32% Vegetable Oil Spread",0.0,14 g (1 Tbsp),0.7140000000000001,
Healthy Ones,healthy-ones,5.56,0.046,N27815179936,usda-ndb-import,smoked turkey breast,464.0,3.7,,0,,Healthy Ones Honey Smoked Turkey Breast,14.81,54 g (54 g),0.648,3.7
Frito-Lay Company,frito-lay-company,63.77,0.0,N28400119788,usda-ndb-import,cookies peanut butter,2063.0,23.19,5.8,0,,"Frito-Lay Company Grandma's, Mini Sandwich Cremes Cookies, Peanut Butter",8.7,34.5 g (1 PACKAGE),0.377,28.99
"Jewel Osco,  Regal Health Food International  Inc.","jewel-osco,regal-health-food-international-inc",46.67,0.003,N28744547018,usda-ndb-import,dark chocolate almonds,2230.0,40.0,6.7,0,,Jewel Osco Dark Chocolate Almonds,10.0,30 g (0.25 cup),0.003,36.67
Friendly's,friendly-s,26.87,0.037000000000000005,N29839005710,usda-ndb-import,premium ice cream,874.0,10.45,0.0,0,,"Friendly's Premium Ice Cream, Rich & Creamy Strawberry",2.99,67 g (0.5 cup),0.052000000000000005,19.4
Ahold,ahold,22.73,0.045,N29839402649,usda-ndb-import,premium ice cream,887.0,12.12,0.0,0,,Ahold Friendly's Premium Ice Cream,3.03,66 g (0.5 cup),0.061,16.67
Giant Eagle,giant-eagle,26.0,0.04,N30034079093,usda-ndb-import,ice cream bars,1088.0,18.0,0.0,0,,Giant Eagle Crunch Ice Cream Bars,4.0,50 g (1 BAR),0.09,24.0
Giant Eagle,giant-eagle,21.43,0.0,N30034082376,usda-ndb-import,dry roasted peanuts,2389.0,50.0,7.1,0,,Giant Eagle Dry Roasted Peanuts,25.0,28 g (0.25 CUP) | (ABOUT),0.35700000000000004,3.57
Giant Eagle  Inc.,giant-eagle-inc,65.79,0.013000000000000001,N30034087975,usda-ndb-import,frosted sugar cookies,1653.0,13.16,0.0,0,,Giant Eagle  Inc. Frosted Sugar Cookies,2.63,38 g (1 COOKIE),0.21100000000000002,42.11
"Giant Eagle,  Giant Eagle  Inc.","giant-eagle,giant-eagle-inc",22.86,0.0,N30034088071,usda-ndb-import,steel cut oats,506.0,2.86,3.6,0,,"Giant Eagle Steel Cut Oats, Barley & Pears",2.14,140 g (1 cup),0.011000000000000001,6.43
"Giant Eagle,  Giant Eagle  Inc.","giant-eagle,giant-eagle-inc",57.14,0.0,N30034094393,usda-ndb-import,chips salt vinegar,2092.0,28.57,3.6,0,,"Giant Eagle Kettle Cooked Potato Chips, Salt & Vinegar",3.57,28 g (18 CHIPS),1.0,7.14
Schreiber Food  Inc.,schreiber-food-inc,24.24,0.076,N30900000985,usda-ndb-import,cream cheese spread,1393.0,24.24,0.0,0,,"Schreiber Food  Inc. Amirican Heritage, Cream Cheese Spread, Pumpkin Spice",3.03,33 g (2 Tbsp),0.242,21.21
Healthy Ones,healthy-ones,1.75,0.044000000000000004,N30900180069,usda-ndb-import,roasted turkey breast,439.0,2.63,,0,,Healthy Ones Oven Roasted Turkey Breast,19.3,57 g (57 g),0.579,1.75
Italian Village,italian-village,12.94,0.047,N31332408271,usda-ndb-import,italian style meatballs,1033.0,16.47,1.2,0,,Italian Village Italian Style Meatballs,12.94,85 g (6 MEATBALLS),0.624,2.35
Family Gourmet,family-gourmet,50.0,0.0,N32251075872,usda-ndb-import,honey roasted peanuts,2092.0,32.14,3.6,0,,Family Gourmet Honey Roasted Peanuts,14.29,28 g (1 oz),0.125,39.29
"Martin's,  Martin's Potato Chips  Inc.","martin-s,martin-s-potato-chips-inc",53.57,0.0,N33049000724,usda-ndb-import,chips salt vinegar,2243.0,32.14,3.6,0,,"Martin's Potato Chips, Salt & Vinegar",7.14,28 g (19 CHIPS) | (ABOUT),1.643,3.57
International Nut Corporation,international-nut-corporation,21.43,0.0,N33717704152,usda-ndb-import,dry roasted peanuts,2389.0,46.43,7.1,0,,"International Nut Corporation Nutcracker, Dry Roasted Peanuts",21.43,28 g (40 PIECES | ABOUT),0.607,3.57
Natural Ovens Bakery,natural-ovens-bakery,41.67,0.0,N33974110000,usda-ndb-import,whole grain bread,1046.0,5.56,8.3,0,,Natural Ovens Bakery Whole Grain Bread,11.11,36 g (36 g),0.292,2.78
Reese's,reese-s,60.0,0.0,N34000405510,usda-ndb-import,peanut butter cups,2230.0,30.0,6.7,0,,Reese's Peanut Butter Cups,13.33,15 g (1 PIECES),0.36700000000000005,53.33
Resse's,resse-s,56.82,0.011000000000000001,N34000453283,usda-ndb-import,peanut butter cups,2092.0,29.55,2.3,0,,Resse's Miniatures Peanut Butter Cups,9.09,44 g (5 PIECES),0.295,50.0
Food Town Stores Inc.,food-town-stores-inc,30.59,0.0,N35826065247,usda-ndb-import,french fried potatoes,887.0,9.41,1.2,0,,Food Town Stores Inc. Fast Food French Fried Potatoes,2.35,85 g (85 GRM),0.5529999999999999,0.0
Food Lion,food-lion,4.88,0.0,N35826073990,usda-ndb-import,mushroom condensed soup,305.0,5.69,0.8,0,,Food Lion Classic Cream Of Mushroom Condensed Soup,0.81,123 g (0.5 cup),0.528,0.0
"Food Lion,  Food Town Stores Inc.","food-lion,food-town-stores-inc",6.67,0.083,N35826077417,usda-ndb-import,cream cheese spread,1117.0,26.67,0.0,0,,"Food Lion Cream Cheese Spread, Onion And Chive",3.33,30 g (2 Tbsp),0.36700000000000005,3.33
Food Town Stores Inc.,food-town-stores-inc,42.86,0.027000000000000003,N35826091031,usda-ndb-import,ice cream sandwiches,1272.0,12.5,1.8,0,,Food Town Stores Inc. Ice Cream Sandwiches,3.57,56 g (1 SANDWICH),0.214,21.43
Food Lion  Llc,food-lion-llc,21.88,0.0,N35826091253,usda-ndb-import,crunchy peanut butter,2615.0,50.0,6.2,0,,Food Lion  Llc Crunchy Peanut Butter,21.88,32 g (2 Tbsp),0.469,9.38
Food Lion,food-lion,21.43,0.0,N35826095787,usda-ndb-import,dry roasted peanuts,2389.0,46.43,7.1,0,,Food Lion Dry Roasted Peanuts,21.43,28 g (1 oz),0.607,3.57
Food Town Stores Inc.,food-town-stores-inc,24.71,0.0,N35826099754,usda-ndb-import,french fried potatoes,590.0,3.53,2.4,0,,Food Town Stores Inc. Steak Cut French Fried Potatoes,2.35,85 g (85 GRM),0.306,0.0
Food Club,food-club,28.57,0.0,N36800041264,usda-ndb-import,honey roasted peanuts,2540.0,46.43,7.1,0,,"Food Club Honey Roasted Peanuts, Honey",21.43,28 g (1 oz),0.268,14.29
Food Club,food-club,24.71,0.0,N36800104457,usda-ndb-import,french fried potatoes,590.0,2.94,2.4,0,,Food Club Crinkle Cut French Fried Potatoes,2.35,85 g (3 oz),0.376,0.0
Topco Associates  Inc.,topco-associates-inc,79.17,0.0,N36800179349,usda-ndb-import,chewy granola bars,1745.0,10.42,4.2,0,,Topco Associates  Inc. Chewy Granola Bars,4.17,24 g (1 BAR),0.20800000000000002,29.17
Full Circle Market,full-circle-market,67.5,0.0,N36800192195,usda-ndb-import,steel cut oats,1569.0,6.25,10.0,0,,Full Circle Market Organic Steel Cut Oats,12.5,40 g (0.25 cup),0.0,2.5
Food Club,food-club,12.15,0.012,N36800307223,usda-ndb-import,chili with beans,473.0,4.45,2.8,0,,Food Club Chili With Beans,6.48,247 g (1 cup),0.526,0.81
Full Circle,full-circle,7.32,0.0,N36800336063,usda-ndb-import,organic pasta sauce,205.0,1.22,2.4,0,,"Full Circle Organic Pasta Sauce, Tomato, Basil",1.63,123 g (0.5 cup),0.285,3.25
Food Club,food-club,68.97,0.009000000000000001,N36800343122,usda-ndb-import,macaroni cheese dinner,1586.0,6.9,1.7,0,,"Food Club Quick'N Easy, Microwaveable Macaroni & Cheese Dinner, Original",10.34,58 g (58 g),0.81,6.9
Food Club,food-club,64.29,0.0,N36800348349,usda-ndb-import,cooked potato chips,2092.0,28.57,3.6,0,,"Food Club Kettle Cooked Potato Chips, Barbeque",7.14,28 g (28 g),0.929,7.14
Food Club,food-club,8.0,0.0,N36800352995,usda-ndb-import,marinara pasta sauce,268.0,2.4,2.4,0,,Food Club Marinara Pasta Sauce,1.6,125 g (0.5 cup),0.376,5.6
Food Club,food-club,23.53,0.044000000000000004,N36800374768,usda-ndb-import,premium ice cream,862.0,10.29,0.0,0,,"Food Club Premium Ice Cream, Neapolitan",2.94,68 g (0.5 cup),0.059000000000000004,17.65
Topco Associates  Inc.,topco-associates-inc,22.62,0.0,N36800378513,usda-ndb-import,french fried potatoes,649.0,5.95,2.4,0,,Topco Associates  Inc. Shoestrings French Fried Potatoes,2.38,84 g (45 PIECES | ABOUT),0.048,1.19
Lindt,lindt,57.5,0.012,N37466048987,usda-ndb-import,dark chocolate bar,2092.0,30.0,7.5,0,,"Lindt Excellence, Black Currant Dark Chocolate Bar",5.0,40 g (40 g),0.05,47.5
Taste Works,taste-works,58.2,0.0,N37578617583,usda-ndb-import,cooked potato chips,2213.0,31.75,3.5,0,,Taste Works Kettle Cooked Potato Chips,5.29,56.7 g (1 PACKAGE),0.317,5.29
Hormel,hormel,13.62,0.012,N37600046978,usda-ndb-import,chili with beans,452.0,2.82,2.8,0,,Hormel Chili With Beans,6.57,213 g (213 g),0.366,1.88
"Hormel,  Hormel Foods Corporation","hormel,hormel-foods-corporation",11.74,0.013999999999999999,N37600222259,usda-ndb-import,chili with beans,439.0,2.83,2.8,0,,Hormel Chili With Beans,7.69,247 g (1 cup),0.401,1.62
Hansen Foods  Llc,hansen-foods-llc,19.12,0.033,N38708949963,usda-ndb-import,thin crust pizza,1017.0,13.24,1.5,0,,Hansen Foods  Llc Original Thin Crust Pizza Four Meat,12.5,136 g (0.2 PIZZA),0.838,2.21
Hansen Foods  Llc,hansen-foods-llc,19.84,0.036000000000000004,N38708949970,usda-ndb-import,thin crust pizza,1063.0,14.29,1.6,0,,Hansen Foods  Llc Original Thin Crust Pizza,11.9,126 g (0.2 PIZZA),0.611,2.38
Jennie-O Turkey Store  Inc.,jennie-o-turkey-store-inc,1.79,0.045,N39272110674,usda-ndb-import,smoked turkey breast,372.0,1.79,,0,,"Jennie-O Turkey Store  Inc. Primo Taglio, Mesquite Smoked Turkey Breast",19.64,56 g (2 ONZ),0.857,1.79
Bob's Red Mill,bob-s-red-mill,69.44,0.0,N39978009609,usda-ndb-import,steel cut oats,1628.0,6.94,11.1,0,,Bob's Red Mill Organic Quick Cooking Steel Cut Oats,11.11,36 g (0.25 cup),0.0,0.0
